File Name,Number of Cities,Constructive Heuristic,Perturbative Heuristic,Initial Distance,Optimized Distance,Initial Time (ms),Final Time (ms)
ch150.tsp,150,greedy_heuristic,or_opt,7743.035625011758,7673.4744740687,17.081022262573242,166.81599617004395
ch150.tsp,150,greedy_heuristic,node_swap,7743.035625011758,7643.046391104982,17.081022262573242,17.81439781188965
eil101.tsp,101,nearest_neighbour,two_opt,914.2757793851821,691.0551119134599,0.0,13.203620910644531
eil101.tsp,101,nearest_neighbour,or_opt,914.2757793851821,873.4191136388096,0.0,79.17261123657227
eil101.tsp,101,nearest_neighbour,node_swap,914.2757793851821,809.5458037036424,0.0,171.86236381530762
eil101.tsp,101,insertion_heuristic,two_opt,729.065933958802,696.3441310082551,227.23102569580078,0.0
eil101.tsp,101,insertion_heuristic,or_opt,729.065933958802,723.7000777429058,227.23102569580078,9.113788604736328
eil101.tsp,101,insertion_heuristic,node_swap,729.065933958802,708.111458812492,227.23102569580078,7.171154022216797
eil101.tsp,101,greedy_heuristic,two_opt,794.6035679513195,668.8513791639647,8.115053176879883,0.0
eil101.tsp,101,greedy_heuristic,or_opt,794.6035679513195,793.5863633025863,8.115053176879883,71.12360000610352
eil101.tsp,101,greedy_heuristic,node_swap,794.6035679513195,743.503580119638,8.115053176879883,31.276464462280273
eil51.tsp,51,nearest_neighbour,two_opt,568.0276767944054,455.18414286989326,0.0,0.0
eil51.tsp,51,nearest_neighbour,or_opt,568.0276767944054,563.5996045994317,0.0,0.0
eil51.tsp,51,nearest_neighbour,node_swap,568.0276767944054,473.2321103321246,0.0,32.021284103393555
eil51.tsp,51,insertion_heuristic,two_opt,474.00315773595923,456.86129924988006,15.10000228881836,0.0
eil51.tsp,51,insertion_heuristic,or_opt,474.00315773595923,466.65913360771395,15.10000228881836,24.16229248046875
eil51.tsp,51,insertion_heuristic,node_swap,474.00315773595923,463.24971709700844,15.10000228881836,8.112430572509766
eil51.tsp,51,greedy_heuristic,two_opt,481.51861852641173,451.5843765605918,0.0,0.0
eil51.tsp,51,greedy_heuristic,or_opt,481.51861852641173,467.98714305845334,0.0,0.0
eil51.tsp,51,greedy_heuristic,node_swap,481.51861852641173,473.2207644912249,0.0,8.191585540771484
eil76.tsp,76,nearest_neighbour,two_opt,646.4369837148063,570.8916919255378,0.0,0.0
eil76.tsp,76,nearest_neighbour,or_opt,646.4369837148063,641.0073719850683,0.0,34.52134132385254
eil76.tsp,76,nearest_neighbour,node_swap,646.4369837148063,621.5611125658921,0.0,79.22768592834473
eil76.tsp,76,insertion_heuristic,two_opt,618.4267130169321,598.286043446557,83.08935165405273,11.629581451416016
eil76.tsp,76,insertion_heuristic,or_opt,618.4267130169321,609.8148307872126,83.08935165405273,19.577741622924805
